epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11450.8,0.86041,0.79928,1.12936,0.80272,0.79178,0.86317,0.62839,0.97144,0.81994,1.21006,0.0066175,0.0066175,0.0066175
43,11723.6,0.85164,0.79338,1.12385,0.80728,0.78994,0.86276,0.62398,0.98558,0.81736,1.22814,0.006535,0.006535,0.006535
44,11995.1,0.84391,0.7711,1.11967,0.78762,0.80038,0.85749,0.61894,0.98203,0.82257,1.22326,0.0064525,0.0064525,0.0064525
45,12266.4,0.84386,0.77126,1.12023,0.80316,0.78538,0.85619,0.61936,0.9796,0.84134,1.22156,0.00637,0.00637,0.00637
46,12538,0.84942,0.77006,1.11752,0.8188,0.77769,0.85728,0.62112,0.9772,0.8261,1.2155,0.0062875,0.0062875,0.0062875
47,12809,0.84167,0.76331,1.11678,0.79945,0.79437,0.85318,0.61801,0.97456,0.82571,1.21609,0.006205,0.006205,0.006205
48,13083,0.8432,0.75991,1.11763,0.78663,0.79643,0.85648,0.6197,0.97978,0.82464,1.22208,0.0061225,0.0061225,0.0061225
49,13367.8,0.83376,0.75622,1.11283,0.81352,0.78889,0.85993,0.62366,0.97431,0.82178,1.2232,0.00604,0.00604,0.00604
50,13639.5,0.83216,0.7468,1.10798,0.80294,0.79572,0.85855,0.62406,0.98062,0.81541,1.22924,0.0059575,0.0059575,0.0059575
51,13912.2,0.82078,0.73724,1.09675,0.79556,0.80095,0.85788,0.62263,0.98666,0.81797,1.23017,0.005875,0.005875,0.005875
52,14184,0.82331,0.73929,1.10247,0.80933,0.79779,0.85944,0.62237,0.98466,0.82073,1.22446,0.0057925,0.0057925,0.0057925
53,14455.8,0.81861,0.73712,1.10517,0.82975,0.78041,0.85992,0.62392,0.98608,0.82641,1.22638,0.00571,0.00571,0.00571
54,14726.6,0.81702,0.72303,1.10164,0.82868,0.78335,0.85931,0.6221,0.98986,0.82898,1.23151,0.0056275,0.0056275,0.0056275
55,14997.6,0.82144,0.73503,1.10725,0.80132,0.80336,0.8577,0.62278,0.98884,0.83959,1.23332,0.005545,0.005545,0.005545
56,15269.7,0.80923,0.71658,1.10046,0.79796,0.80476,0.85873,0.62345,0.98736,0.84427,1.23587,0.0054625,0.0054625,0.0054625
57,15542,0.80801,0.71121,1.09836,0.78472,0.8184,0.85839,0.6223,0.98589,0.84972,1.23625,0.00538,0.00538,0.00538
58,15813.5,0.79645,0.71323,1.09203,0.78482,0.81502,0.86024,0.62482,0.99062,0.84738,1.24202,0.0052975,0.0052975,0.0052975
59,16085.2,0.79372,0.69902,1.08987,0.79018,0.81518,0.85995,0.62562,0.98954,0.84873,1.24131,0.005215,0.005215,0.005215
60,16356.9,0.7901,0.70405,1.08973,0.78751,0.81514,0.85901,0.62413,0.98725,0.84813,1.23943,0.0051325,0.0051325,0.0051325
61,16628.4,0.78521,0.69552,1.08102,0.78489,0.81519,0.85942,0.62504,0.98763,0.84553,1.23857,0.00505,0.00505,0.00505
62,16901.1,0.78518,0.69065,1.08365,0.79754,0.80698,0.86104,0.626,0.99306,0.84159,1.24238,0.0049675,0.0049675,0.0049675
63,17173.2,0.78244,0.67988,1.0801,0.80324,0.7975,0.85953,0.62287,0.9941,0.84475,1.24365,0.004885,0.004885,0.004885
64,17444.5,0.77727,0.68309,1.07342,0.8113,0.78956,0.86063,0.62331,0.99427,0.84466,1.24396,0.0048025,0.0048025,0.0048025
65,17715.8,0.77965,0.67365,1.07797,0.80985,0.78477,0.86076,0.62197,0.99501,0.8453,1.24648,0.00472,0.00472,0.00472
66,17986.8,0.77703,0.66789,1.07626,0.80576,0.78971,0.86101,0.62081,0.99521,0.84675,1.24802,0.0046375,0.0046375,0.0046375
67,18259.1,0.76837,0.66486,1.07431,0.80651,0.79112,0.86052,0.61975,0.9944,0.84698,1.24768,0.004555,0.004555,0.004555
68,18531.5,0.7642,0.66531,1.07463,0.80476,0.79337,0.86098,0.6198,0.99371,0.84769,1.24904,0.0044725,0.0044725,0.0044725
69,18803.2,0.7633,0.66316,1.07399,0.80414,0.79616,0.86066,0.61906,0.9958,0.84742,1.25257,0.00439,0.00439,0.00439
70,19075.7,0.76112,0.66158,1.07061,0.80709,0.79765,0.8606,0.6186,0.9967,0.84723,1.25415,0.0043075,0.0043075,0.0043075
71,19349.4,0.75629,0.65148,1.06891,0.81396,0.79841,0.86013,0.61878,0.99771,0.84916,1.25613,0.004225,0.004225,0.004225
72,19622.4,0.74432,0.63982,1.06381,0.81026,0.80013,0.86011,0.619,0.99868,0.8487,1.25809,0.0041425,0.0041425,0.0041425
73,19893.5,0.74873,0.6384,1.06598,0.813,0.80075,0.85848,0.61927,0.99984,0.84926,1.26028,0.00406,0.00406,0.00406
74,20166,0.74855,0.63365,1.05849,0.8104,0.79977,0.85792,0.61864,1.00129,0.84919,1.26148,0.0039775,0.0039775,0.0039775
75,20436.6,0.74159,0.62771,1.05905,0.80828,0.79566,0.85652,0.6173,1.00201,0.85022,1.2627,0.003895,0.003895,0.003895
76,20708.1,0.7444,0.63303,1.05897,0.81114,0.79658,0.85627,0.61763,1.003,0.85118,1.26343,0.0038125,0.0038125,0.0038125
77,20979.7,0.73453,0.62128,1.05177,0.81249,0.79765,0.85528,0.61644,1.00486,0.84985,1.26509,0.00373,0.00373,0.00373
78,21251.5,0.7342,0.62317,1.05234,0.81677,0.79031,0.85573,0.61514,1.00564,0.85026,1.26633,0.0036475,0.0036475,0.0036475
79,21522.4,0.72991,0.62007,1.05064,0.8134,0.79155,0.85616,0.61527,1.00639,0.84917,1.26739,0.003565,0.003565,0.003565
80,21793.9,0.72636,0.61181,1.04907,0.80887,0.80202,0.85591,0.61499,1.00726,0.8505,1.26846,0.0034825,0.0034825,0.0034825
81,22065.6,0.72087,0.6026,1.04818,0.80674,0.80396,0.85581,0.61414,1.00838,0.84992,1.26947,0.0034,0.0034,0.0034
82,22337.4,0.71849,0.60212,1.04395,0.80664,0.80315,0.85503,0.61269,1.00984,0.8509,1.27091,0.0033175,0.0033175,0.0033175
