epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9388.03,0.88249,0.69227,1.14687,0.86696,0.88294,0.92183,0.66862,0.97879,0.6245,1.21617,0.0066175,0.0066175,0.0066175
43,9606.56,0.88154,0.68124,1.14708,0.88611,0.84977,0.91532,0.66832,0.97934,0.63022,1.22445,0.006535,0.006535,0.006535
44,9824.66,0.87435,0.6808,1.14701,0.8659,0.85979,0.91167,0.66203,0.98327,0.65015,1.23629,0.0064525,0.0064525,0.0064525
45,10043.5,0.87092,0.67997,1.14252,0.883,0.87512,0.92465,0.66813,0.99368,0.62637,1.24899,0.00637,0.00637,0.00637
46,10261.1,0.86556,0.66285,1.13764,0.86468,0.891,0.92016,0.6683,0.98037,0.62113,1.23948,0.0062875,0.0062875,0.0062875
47,10479.6,0.86703,0.67058,1.1342,0.86244,0.88296,0.91485,0.66361,0.97766,0.63147,1.23061,0.006205,0.006205,0.006205
48,10698.1,0.86139,0.65921,1.1306,0.86632,0.88173,0.92351,0.66745,0.9907,0.62098,1.246,0.0061225,0.0061225,0.0061225
49,10916.5,0.85576,0.64818,1.13205,0.86986,0.88348,0.92173,0.67153,0.98755,0.61059,1.24189,0.00604,0.00604,0.00604
50,11135.2,0.8499,0.65683,1.1308,0.869,0.86736,0.92264,0.6715,0.97172,0.6147,1.23235,0.0059575,0.0059575,0.0059575
51,11353.3,0.84567,0.64926,1.12511,0.87414,0.85565,0.92589,0.67261,0.97025,0.61006,1.22412,0.005875,0.005875,0.005875
52,11571.7,0.84821,0.64965,1.12903,0.8482,0.87997,0.91689,0.66446,0.98229,0.63241,1.22711,0.0057925,0.0057925,0.0057925
53,11790.2,0.84038,0.64597,1.12479,0.85885,0.88627,0.91626,0.66696,0.97965,0.62184,1.23311,0.00571,0.00571,0.00571
54,12008.6,0.84251,0.64626,1.1289,0.86481,0.87684,0.9146,0.66766,0.98373,0.61797,1.24006,0.0056275,0.0056275,0.0056275
55,12227.4,0.83414,0.62707,1.11874,0.85911,0.87241,0.91156,0.67014,0.97893,0.62449,1.22917,0.005545,0.005545,0.005545
56,12445.4,0.83178,0.62129,1.11667,0.85609,0.87953,0.90898,0.66302,0.97539,0.63093,1.22517,0.0054625,0.0054625,0.0054625
57,12663.9,0.82571,0.62485,1.11235,0.84772,0.89064,0.91199,0.66871,0.97431,0.63859,1.22286,0.00538,0.00538,0.00538
58,12882.6,0.82325,0.62018,1.11479,0.85535,0.89043,0.91254,0.66932,0.982,0.64064,1.22848,0.0052975,0.0052975,0.0052975
59,13100.4,0.82008,0.61613,1.11289,0.86147,0.89193,0.91955,0.66531,0.98463,0.63285,1.22921,0.005215,0.005215,0.005215
60,13319.1,0.81475,0.60492,1.10962,0.86971,0.88991,0.91882,0.66561,0.99132,0.63093,1.24269,0.0051325,0.0051325,0.0051325
61,13537.3,0.80798,0.61023,1.10312,0.85407,0.88536,0.91241,0.66379,0.98767,0.63486,1.23929,0.00505,0.00505,0.00505
62,13755.3,0.80986,0.60749,1.10492,0.85376,0.87207,0.90508,0.66087,0.98664,0.65141,1.23572,0.0049675,0.0049675,0.0049675
63,13974.5,0.80725,0.59736,1.10115,0.85859,0.88023,0.90535,0.66167,0.98885,0.64505,1.23541,0.004885,0.004885,0.004885
64,14192.2,0.7973,0.59363,1.09292,0.86634,0.87373,0.90517,0.65886,0.98802,0.64466,1.23887,0.0048025,0.0048025,0.0048025
65,14410.9,0.79866,0.59396,1.09946,0.85119,0.87311,0.90578,0.66157,0.98916,0.64133,1.24637,0.00472,0.00472,0.00472
66,14629.5,0.79579,0.59633,1.09492,0.85151,0.88003,0.90747,0.65894,0.99322,0.63912,1.25292,0.0046375,0.0046375,0.0046375
67,14847.7,0.79247,0.58786,1.09782,0.85068,0.87783,0.91088,0.66035,0.99387,0.63343,1.25999,0.004555,0.004555,0.004555
