epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.5563,1.57256,3.61151,1.65388,0.38699,0.53234,0.33723,0.17946,1.46466,2.10853,1.51002,0.00332524,0.00332524,0.00332524
2,156.215,1.49023,2.71449,1.54641,0.50349,0.33466,0.36064,0.19798,1.33091,2.14138,1.48489,0.00662562,0.00662562,0.00662562
3,225.222,1.52204,2.53857,1.55664,0.54451,0.32565,0.21355,0.11425,1.53274,2.32435,1.6082,0.00989299,0.00989299,0.00989299
4,293.918,1.53382,2.36596,1.58137,0.58103,0.36937,0.37525,0.18348,1.50674,2.04757,1.56539,0.0098515,0.0098515,0.0098515
5,362.254,1.49233,2.1242,1.5389,0.58976,0.37601,0.39419,0.22113,1.44459,1.86851,1.49913,0.009802,0.009802,0.009802
6,430.09,1.46675,1.99203,1.52517,0.68526,0.42244,0.45581,0.25217,1.34624,1.65068,1.42873,0.0097525,0.0097525,0.0097525
7,499.555,1.44669,1.87422,1.49777,0.63333,0.47949,0.48038,0.27415,1.39945,1.67055,1.46976,0.009703,0.009703,0.009703
8,567.756,1.41565,1.77997,1.47865,0.48781,0.53016,0.44488,0.24931,1.43026,1.64501,1.46695,0.0096535,0.0096535,0.0096535
9,636.915,1.3953,1.73136,1.46556,0.65963,0.5468,0.55424,0.32272,1.3297,1.39069,1.42498,0.009604,0.009604,0.009604
10,705.619,1.38707,1.65527,1.45625,0.59041,0.51383,0.4999,0.27454,1.37844,1.58539,1.42268,0.0095545,0.0095545,0.0095545
11,773.626,1.36665,1.59337,1.44475,0.65078,0.58416,0.65596,0.39737,1.28893,1.31515,1.37396,0.009505,0.009505,0.009505
12,842.2,1.35767,1.5458,1.43059,0.49246,0.63245,0.60404,0.36322,1.30091,1.31496,1.40405,0.0094555,0.0094555,0.0094555
