epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9193.35,0.87859,0.68604,1.14363,0.87011,0.86296,0.91571,0.67059,0.96107,0.63861,1.19022,0.0066175,0.0066175,0.0066175
43,9411.65,0.88209,0.68107,1.13846,0.87675,0.87092,0.92508,0.66978,0.97323,0.6162,1.21038,0.006535,0.006535,0.006535
44,9630.48,0.87309,0.67732,1.14034,0.88057,0.86759,0.92414,0.67103,0.97247,0.61614,1.20329,0.0064525,0.0064525,0.0064525
45,9848.62,0.867,0.67682,1.13368,0.87697,0.85976,0.92232,0.6781,0.96058,0.62056,1.19881,0.00637,0.00637,0.00637
46,10067.3,0.86247,0.66328,1.13127,0.85681,0.88957,0.91917,0.67845,0.95826,0.61222,1.19839,0.0062875,0.0062875,0.0062875
47,10286.3,0.86838,0.66458,1.13412,0.88136,0.86425,0.91074,0.66223,0.97582,0.63945,1.20001,0.006205,0.006205,0.006205
48,10504.6,0.85517,0.66079,1.12909,0.87029,0.86957,0.91756,0.67653,0.96302,0.62464,1.20954,0.0061225,0.0061225,0.0061225
49,10723.8,0.85113,0.64912,1.12741,0.89395,0.856,0.92276,0.67575,0.96804,0.61178,1.21159,0.00604,0.00604,0.00604
50,10942.1,0.84996,0.65612,1.12507,0.87652,0.88069,0.92878,0.67951,0.96453,0.61109,1.21227,0.0059575,0.0059575,0.0059575
51,11160.5,0.84278,0.64838,1.12541,0.87006,0.87593,0.92508,0.6788,0.96445,0.60627,1.21454,0.005875,0.005875,0.005875
52,11379.2,0.84572,0.64304,1.11784,0.86135,0.88028,0.93006,0.67788,0.96685,0.59631,1.21139,0.0057925,0.0057925,0.0057925
53,11597.6,0.83745,0.64059,1.11897,0.89063,0.8636,0.93017,0.68127,0.95145,0.6007,1.20922,0.00571,0.00571,0.00571
54,11816.8,0.8372,0.64665,1.11798,0.87821,0.87373,0.92818,0.68181,0.96263,0.60403,1.21271,0.0056275,0.0056275,0.0056275
55,12034.9,0.82889,0.63111,1.1115,0.85268,0.89269,0.92835,0.68056,0.96628,0.60928,1.20917,0.005545,0.005545,0.005545
56,12253.4,0.82955,0.6263,1.11001,0.85332,0.89039,0.92491,0.67775,0.96663,0.61738,1.2038,0.0054625,0.0054625,0.0054625
57,12472.5,0.82288,0.62443,1.10581,0.86458,0.88105,0.92523,0.68026,0.96948,0.60682,1.20565,0.00538,0.00538,0.00538
58,12690.8,0.81693,0.62569,1.10239,0.85286,0.88167,0.92125,0.67389,0.97456,0.60955,1.21298,0.0052975,0.0052975,0.0052975
59,12909.7,0.81068,0.61508,1.10316,0.8724,0.87036,0.92305,0.67559,0.97215,0.60834,1.21668,0.005215,0.005215,0.005215
60,13128.4,0.80753,0.60695,1.10366,0.88003,0.87408,0.92293,0.67619,0.9707,0.60533,1.22177,0.0051325,0.0051325,0.0051325
61,13346.6,0.80307,0.60612,1.09609,0.88912,0.86951,0.92604,0.67984,0.9656,0.6105,1.21788,0.00505,0.00505,0.00505
62,13565.7,0.8071,0.60797,1.10087,0.86782,0.86971,0.92217,0.67745,0.96397,0.61466,1.2118,0.0049675,0.0049675,0.0049675
63,13783.6,0.80026,0.60127,1.09112,0.87452,0.87015,0.92432,0.67825,0.96421,0.61134,1.2095,0.004885,0.004885,0.004885
64,14002.4,0.78951,0.59792,1.08674,0.87999,0.87223,0.92532,0.68257,0.96392,0.61135,1.21093,0.0048025,0.0048025,0.0048025
65,14221.1,0.78892,0.59773,1.09046,0.88172,0.87276,0.92562,0.6801,0.9657,0.61908,1.2139,0.00472,0.00472,0.00472
66,14439.4,0.79004,0.58996,1.09166,0.89678,0.8652,0.92441,0.67755,0.9632,0.62256,1.21424,0.0046375,0.0046375,0.0046375
67,14658.2,0.79437,0.58645,1.09263,0.8914,0.86626,0.92487,0.68077,0.96943,0.61411,1.22063,0.004555,0.004555,0.004555
68,14876.5,0.78369,0.58239,1.08559,0.89695,0.86665,0.92562,0.68417,0.96379,0.61592,1.21674,0.0044725,0.0044725,0.0044725
69,15095.1,0.77677,0.58487,1.08107,0.89285,0.86952,0.92599,0.68281,0.96179,0.61836,1.21347,0.00439,0.00439,0.00439
70,15314,0.77326,0.5829,1.08088,0.89236,0.86893,0.92578,0.68054,0.96147,0.61598,1.2153,0.0043075,0.0043075,0.0043075
71,15532.2,0.76908,0.57229,1.08015,0.89367,0.87084,0.92751,0.68273,0.95907,0.61971,1.21521,0.004225,0.004225,0.004225
72,15751.1,0.76938,0.58079,1.07935,0.88519,0.87383,0.92709,0.68209,0.95793,0.62292,1.21571,0.0041425,0.0041425,0.0041425
73,15969.2,0.76486,0.56624,1.07602,0.88208,0.87235,0.9271,0.68389,0.95879,0.626,1.21686,0.00406,0.00406,0.00406
74,16187.6,0.7603,0.5653,1.07152,0.88835,0.86922,0.92773,0.68264,0.96164,0.62511,1.21959,0.0039775,0.0039775,0.0039775
75,16405.9,0.75992,0.56048,1.07245,0.88999,0.87375,0.92739,0.68336,0.96357,0.62513,1.22267,0.003895,0.003895,0.003895
76,16624.3,0.75336,0.56054,1.07103,0.88826,0.86733,0.92694,0.68282,0.96637,0.6251,1.22558,0.0038125,0.0038125,0.0038125
77,16843.3,0.74564,0.55278,1.06481,0.88805,0.86929,0.9269,0.68227,0.9676,0.62705,1.2286,0.00373,0.00373,0.00373
78,17065.1,0.752,0.55645,1.06873,0.89167,0.86705,0.92785,0.68242,0.96774,0.62319,1.22828,0.0036475,0.0036475,0.0036475
79,17283.5,0.74436,0.55106,1.06496,0.88767,0.86983,0.92838,0.68305,0.96736,0.62575,1.22805,0.003565,0.003565,0.003565
80,17502.2,0.7383,0.54052,1.06138,0.88781,0.86638,0.92853,0.68271,0.96902,0.62282,1.23036,0.0034825,0.0034825,0.0034825
81,17720.7,0.73688,0.53854,1.06214,0.88821,0.86639,0.92836,0.6832,0.96793,0.62474,1.22903,0.0034,0.0034,0.0034
82,17939.5,0.73388,0.53809,1.0582,0.8852,0.87055,0.92773,0.6824,0.96875,0.62522,1.23106,0.0033175,0.0033175,0.0033175
83,18157.8,0.72982,0.53049,1.05691,0.88198,0.86707,0.92717,0.68068,0.97289,0.62311,1.23599,0.003235,0.003235,0.003235
84,18376.3,0.72657,0.53386,1.05758,0.88488,0.86796,0.92716,0.68083,0.9738,0.62269,1.2362,0.0031525,0.0031525,0.0031525
85,18595.5,0.72012,0.52159,1.05232,0.88798,0.87079,0.92703,0.67985,0.97606,0.62274,1.23836,0.00307,0.00307,0.00307
86,18813.4,0.72299,0.53037,1.05267,0.88811,0.86791,0.92642,0.68108,0.97839,0.62698,1.24234,0.0029875,0.0029875,0.0029875
87,19032.3,0.71771,0.52152,1.05177,0.88745,0.86934,0.92684,0.68032,0.97748,0.6282,1.2405,0.002905,0.002905,0.002905
88,19250.9,0.71606,0.51887,1.05118,0.883,0.87141,0.92616,0.68001,0.97957,0.62685,1.24252,0.0028225,0.0028225,0.0028225
89,19469.2,0.71412,0.5158,1.04947,0.88185,0.86956,0.92577,0.67967,0.98189,0.62535,1.24492,0.00274,0.00274,0.00274
90,19688.1,0.7077,0.51349,1.04378,0.88433,0.87205,0.92572,0.68023,0.98422,0.62646,1.25014,0.0026575,0.0026575,0.0026575
91,19906.3,0.70018,0.50506,1.04137,0.88208,0.87247,0.92589,0.67849,0.98498,0.62656,1.25076,0.002575,0.002575,0.002575
92,20125.3,0.70165,0.5082,1.04347,0.87448,0.8744,0.9257,0.68035,0.98497,0.62844,1.25148,0.0024925,0.0024925,0.0024925
93,20344,0.69781,0.50467,1.04037,0.87574,0.8718,0.92546,0.67962,0.98478,0.62687,1.25178,0.00241,0.00241,0.00241
94,20562.3,0.69731,0.49386,1.03517,0.8748,0.87213,0.9257,0.6793,0.98415,0.62765,1.25061,0.0023275,0.0023275,0.0023275
95,20781,0.68832,0.49232,1.03755,0.87481,0.87549,0.92642,0.67957,0.98595,0.62818,1.25385,0.002245,0.002245,0.002245
96,20999.2,0.68112,0.48786,1.03212,0.87568,0.87292,0.92656,0.68047,0.98674,0.62831,1.25717,0.0021625,0.0021625,0.0021625
97,21217.6,0.68629,0.4883,1.03392,0.87706,0.8757,0.92651,0.67967,0.98814,0.62556,1.25911,0.00208,0.00208,0.00208
98,21436.3,0.68269,0.49132,1.03167,0.87734,0.87425,0.92547,0.68023,0.98802,0.62505,1.25911,0.0019975,0.0019975,0.0019975
