epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8186.78,1.02264,0.84127,1.20152,0.75547,0.8662,0.87742,0.61462,1.08482,0.86227,1.22217,0.007921,0.007921,0.007921
44,8376.36,1.01262,0.82869,1.18833,0.81077,0.77003,0.87279,0.61218,1.07031,0.85773,1.20867,0.0078715,0.0078715,0.0078715
45,8565.78,1.00503,0.81517,1.1837,0.83818,0.7898,0.8781,0.61878,1.0678,0.87348,1.19818,0.007822,0.007822,0.007822
46,8755.53,1.00737,0.81705,1.18405,0.76717,0.86331,0.87017,0.61273,1.0522,0.88038,1.20263,0.0077725,0.0077725,0.0077725
47,8944.64,0.99478,0.81395,1.1857,0.82597,0.8291,0.88774,0.63475,1.05546,0.85034,1.21497,0.007723,0.007723,0.007723
48,9133.59,0.99364,0.80541,1.1803,0.81237,0.77213,0.87118,0.61436,1.06433,0.87051,1.20245,0.0076735,0.0076735,0.0076735
49,9322.07,0.99446,0.8033,1.17653,0.8172,0.75356,0.86665,0.60817,1.05417,0.85744,1.19357,0.007624,0.007624,0.007624
50,9511.18,0.98862,0.79594,1.17066,0.78947,0.84823,0.8728,0.61429,1.06185,0.85155,1.2004,0.0075745,0.0075745,0.0075745
51,9700.89,0.97572,0.78682,1.16897,0.83422,0.80984,0.88823,0.61919,1.06998,0.84151,1.21604,0.007525,0.007525,0.007525
52,9889.54,0.97572,0.78381,1.16919,0.82308,0.81091,0.88211,0.63218,1.05924,0.84336,1.20907,0.0074755,0.0074755,0.0074755
53,10079,0.97298,0.77364,1.15816,0.82305,0.80796,0.87683,0.62073,1.06169,0.84994,1.20709,0.007426,0.007426,0.007426
54,10268.5,0.96638,0.76574,1.16101,0.77306,0.83357,0.87356,0.62008,1.0613,0.86355,1.20963,0.0073765,0.0073765,0.0073765
55,10457.9,0.96255,0.75886,1.15943,0.78998,0.84218,0.88766,0.63033,1.0674,0.85768,1.21154,0.007327,0.007327,0.007327
56,10647.5,0.95856,0.76544,1.154,0.79553,0.83839,0.87428,0.61848,1.05378,0.86185,1.20661,0.0072775,0.0072775,0.0072775
57,10836.8,0.95791,0.75908,1.15739,0.77832,0.84336,0.87385,0.62935,1.05154,0.86226,1.20451,0.007228,0.007228,0.007228
58,11025.6,0.95043,0.74404,1.15134,0.81527,0.82515,0.88467,0.62865,1.06351,0.85451,1.21438,0.0071785,0.0071785,0.0071785
59,11215.1,0.94556,0.74505,1.14646,0.77367,0.86479,0.87692,0.62666,1.05954,0.86593,1.2125,0.007129,0.007129,0.007129
60,11404.4,0.94228,0.74083,1.14313,0.83214,0.82806,0.88887,0.62538,1.06035,0.85715,1.21042,0.0070795,0.0070795,0.0070795
61,11594,0.94007,0.7311,1.14589,0.80184,0.85268,0.88033,0.62876,1.04633,0.86242,1.201,0.00703,0.00703,0.00703
